Energy(eV) Total(1/s) Acoustic(1/s) IV_g_ems(1/s) IV_g_abs(1/s) IV_f_ems(1/s) IV_f_abs(1/s) II(1/s)
0.155 1.64892e+13 5.86779e+12 6.28376e+12 1.51548e+12 2.18003e+12 6.42163e+11 0
0.156 1.6598e+13 5.90426e+12 6.33168e+12 1.52175e+12 2.19543e+12 6.44885e+11 0
0.157 1.67019e+13 5.93636e+12 6.37825e+12 1.52789e+12 2.21172e+12 6.47626e+11 0
0.158 1.68e+13 5.96822e+12 6.41966e+12 1.53356e+12 2.22877e+12 6.49823e+11 0
0.159 1.68997e+13 6.0025e+12 6.45978e+12 1.53909e+12 2.24597e+12 6.52317e+11 0
0.16 1.69977e+13 6.03215e+12 6.50247e+12 1.54462e+12 2.26364e+12 6.54848e+11 0
0.161 1.70935e+13 6.05479e+12 6.54981e+12 1.54965e+12 2.28194e+12 6.57271e+11 0
0.162 1.71911e+13 6.07629e+12 6.60047e+12 1.55434e+12 2.30046e+12 6.59558e+11 0
0.163 1.72948e+13 6.10251e+12 6.65331e+12 1.55904e+12 2.31814e+12 6.61769e+11 0
0.164 1.74022e+13 6.13061e+12 6.70848e+12 1.56369e+12 2.33568e+12 6.63781e+11 0
0.165 1.75109e+13 6.15951e+12 6.7641e+12 1.56779e+12 2.35377e+12 6.65746e+11 0
0.166 1.76157e+13 6.18887e+12 6.81333e+12 1.57321e+12 2.37247e+12 6.67852e+11 0
0.167 1.7716e+13 6.2154e+12 6.86056e+12 1.57894e+12 2.39094e+12 6.70139e+11 0
0.168 1.78267e+13 6.2482e+12 6.91134e+12 1.58454e+12 2.4101e+12 6.72515e+11 0
0.169 1.7945e+13 6.28387e+12 6.96606e+12 1.59001e+12 2.43008e+12 6.7502e+11 0
0.17 1.80627e+13 6.3206e+12 7.01874e+12 1.59545e+12 2.45029e+12 6.77576e+11 0
0.171 1.81826e+13 6.35829e+12 7.07129e+12 1.60084e+12 2.47205e+12 6.80118e+11 0
0.172 1.83085e+13 6.39597e+12 7.12676e+12 1.60628e+12 2.49689e+12 6.82602e+11 0
0.173 1.84358e+13 6.43298e+12 7.18084e+12 1.61168e+12 2.52521e+12 6.8505e+11 0
0.174 1.8565e+13 6.46948e+12 7.23415e+12 1.61695e+12 2.55699e+12 6.87407e+11 0
0.175 1.8693e+13 6.50348e+12 7.28815e+12 1.62218e+12 2.5896e+12 6.89626e+11 0
0.176 1.88168e+13 6.53533e+12 7.34333e+12 1.62746e+12 2.61894e+12 6.91718e+11 0
0.177 1.89035e+13 6.53199e+12 7.39929e+12 1.63282e+12 2.64564e+12 6.93759e+11 0
0.178 1.90205e+13 6.55725e+12 7.45615e+12 1.63829e+12 2.67296e+12 6.95803e+11 0
0.179 1.91405e+13 6.58782e+12 7.51354e+12 1.64371e+12 2.69768e+12 6.9776e+11 0
0.18 1.92561e+13 6.61536e+12 7.57185e+12 1.64901e+12 2.72006e+12 6.99814e+11 0
0.181 1.93725e+13 6.64158e+12 7.63141e+12 1.65427e+12 2.74318e+12 7.02032e+11 0
0.182 1.94954e+13 6.67098e+12 7.69262e+12 1.65947e+12 2.76798e+12 7.04313e+11 0
0.183 1.96254e+13 6.70285e+12 7.7558e+12 1.66461e+12 2.79555e+12 7.06584e+11 0
0.184 1.97616e+13 6.73835e+12 7.82056e+12 1.66993e+12 2.82388e+12 7.0885e+11 0
0.185 1.99024e+13 6.77467e+12 7.88686e+12 1.67535e+12 2.85447e+12 7.11092e+11 0
0.186 2.00583e+13 6.80983e+12 7.96596e+12 1.6806e+12 2.88868e+12 7.13259e+11 0
