Energy(eV) Total(1/s) Acoustic(1/s) IV_g_ems(1/s) IV_g_abs(1/s) IV_f_ems(1/s) IV_f_abs(1/s)
0.213 1.22665e+13 0 3.85336e+12 1.06907e+12 6.01074e+12 1.33337e+12
0.214 1.23147e+13 0 3.86938e+12 1.07235e+12 6.03568e+12 1.33731e+12
0.215 1.23629e+13 0 3.8854e+12 1.07564e+12 6.0606e+12 1.34126e+12
0.216 1.2411e+13 0 3.9014e+12 1.07893e+12 6.08551e+12 1.3452e+12
0.217 1.24592e+13 0 3.9174e+12 1.08221e+12 6.1104e+12 1.34915e+12
0.218 1.25073e+13 0 3.93338e+12 1.0855e+12 6.13529e+12 1.3531e+12
0.219 1.25554e+13 0 3.94936e+12 1.08879e+12 6.16016e+12 1.35705e+12
0.22 1.26034e+13 0 3.96533e+12 1.09208e+12 6.18502e+12 1.361e+12
0.221 1.26515e+13 0 3.9813e+12 1.09537e+12 6.20986e+12 1.36495e+12
0.222 1.26995e+13 0 3.99725e+12 1.09866e+12 6.2347e+12 1.3689e+12
0.223 1.27475e+13 0 4.0132e+12 1.10195e+12 6.25952e+12 1.37285e+12
0.224 1.27955e+13 0 4.02914e+12 1.10524e+12 6.28433e+12 1.37681e+12
0.225 1.28435e+13 0 4.04507e+12 1.10853e+12 6.30914e+12 1.38076e+12
0.226 1.28915e+13 0 4.06099e+12 1.11182e+12 6.33393e+12 1.38471e+12
0.227 1.29394e+13 0 4.07691e+12 1.11511e+12 6.35871e+12 1.38867e+12
0.228 1.29873e+13 0 4.09282e+12 1.11841e+12 6.38348e+12 1.39262e+12
0.229 1.30353e+13 0 4.10873e+12 1.1217e+12 6.40824e+12 1.39658e+12
0.23 1.30832e+13 0 4.12463e+12 1.12499e+12 6.433e+12 1.40054e+12
0.231 1.3131e+13 0 4.14052e+12 1.12829e+12 6.45774e+12 1.4045e+12
0.232 1.31789e+13 0 4.1564e+12 1.13158e+12 6.48248e+12 1.40846e+12
0.233 1.32268e+13 0 4.17229e+12 1.13488e+12 6.5072e+12 1.41242e+12
0.234 1.32746e+13 0 4.18816e+12 1.13817e+12 6.53192e+12 1.41638e+12
0.235 1.33225e+13 0 4.20403e+12 1.14147e+12 6.55663e+12 1.42034e+12
0.236 1.33703e+13 0 4.21989e+12 1.14477e+12 6.58134e+12 1.4243e+12
0.237 1.34181e+13 0 4.23575e+12 1.14806e+12 6.60603e+12 1.42827e+12
0.238 1.34659e+13 0 4.25161e+12 1.15136e+12 6.63072e+12 1.43223e+12
0.239 1.35137e+13 0 4.26746e+12 1.15466e+12 6.6554e+12 1.4362e+12
0.24 1.35615e+13 0 4.2833e+12 1.15796e+12 6.68008e+12 1.44017e+12
0.241 1.36093e+13 0 4.29914e+12 1.16126e+12 6.70475e+12 1.44414e+12
0.242 1.36571e+13 0 4.31498e+12 1.16456e+12 6.72941e+12 1.4481e+12
0.243 1.37048e+13 0 4.33081e+12 1.16787e+12 6.75407e+12 1.45207e+12
0.244 1.37526e+13 0 4.34664e+12 1.17117e+12 6.77872e+12 1.45605e+12
0.245 1.38003e+13 0 4.36247e+12 1.17447e+12 6.80336e+12 1.46002e+12
0.246 1.38481e+13 0 4.37829e+12 1.17778e+12 6.828e+12 1.46399e+12
0.247 1.38958e+13 0 4.3941e+12 1.18108e+12 6.85264e+12 1.46797e+12
0.248 1.39435e+13 0 4.40992e+12 1.18439e+12 6.87727e+12 1.47194e+12
0.249 1.39912e+13 0 4.42573e+12 1.18769e+12 6.90189e+12 1.47592e+12
0.25 1.40389e+13 0 4.44154e+12 1.191e+12 6.92651e+12 1.4799e+12
0.251 1.40867e+13 0 4.45734e+12 1.19431e+12 6.95113e+12 1.48388e+12
0.252 1.41344e+13 0 4.47314e+12 1.19762e+12 6.97574e+12 1.48786e+12
0.253 1.41821e+13 0 4.48894e+12 1.20093e+12 7.00035e+12 1.49184e+12
0.254 1.42298e+13 0 4.50474e+12 1.20424e+12 7.02496e+12 1.49582e+12
0.255 1.42774e+13 0 4.52053e+12 1.20755e+12 7.04956e+12 1.4998e+12
0.256 1.43251e+13 0 4.53632e+12 1.21086e+12 7.07416e+12 1.50379e+12
0.257 1.43728e+13 0 4.55211e+12 1.21417e+12 7.09875e+12 1.50777e+12
0.258 1.44205e+13 0 4.5679e+12 1.21749e+12 7.12334e+12 1.51176e+12
0.259 1.44682e+13 0 4.58369e+12 1.2208e+12 7.14793e+12 1.51575e+12
0.26 1.45158e+13 0 4.59947e+12 1.22412e+12 7.17252e+12 1.51974e+12
0.261 1.45635e+13 0 4.61525e+12 1.22744e+12 7.19711e+12 1.52373e+12
0.262 1.46112e+13 0 4.63103e+12 1.23075e+12 7.22169e+12 1.52772e+12
0.263 1.46589e+13 0 4.64681e+12 1.23407e+12 7.24627e+12 1.53171e+12
0.264 1.47065e+13 0 4.66259e+12 1.23739e+12 7.27085e+12 1.53571e+12
0.265 1.47542e+13 0 4.67836e+12 1.24071e+12 7.29542e+12 1.5397e+12
0.266 1.48019e+13 0 4.69414e+12 1.24403e+12 7.32e+12 1.5437e+12
0.267 1.48495e+13 0 4.70991e+12 1.24735e+12 7.34457e+12 1.5477e+12
0.268 1.48972e+13 0 4.72568e+12 1.25068e+12 7.36915e+12 1.5517e+12
