10000
-0.4 0.4
-0.357436 2.8984e+19 1.34796e+24
-0.357356 2.90738e+19 1.35214e+24
-0.357276 2.91639e+19 1.35633e+24
-0.357196 2.92543e+19 1.36054e+24
-0.357116 2.9345e+19 1.36475e+24
-0.357036 2.9436e+19 1.36898e+24
-0.356956 2.95272e+19 1.37323e+24
-0.356876 2.96187e+19 1.37748e+24
-0.356796 2.97105e+19 1.38175e+24
-0.356716 2.98026e+19 1.38604e+24
-0.356636 2.9895e+19 1.39033e+24
-0.356556 2.99877e+19 1.39464e+24
-0.356476 3.00806e+19 1.39896e+24
-0.356396 3.01739e+19 1.4033e+24
-0.356316 3.02674e+19 1.40765e+24
-0.356236 3.03612e+19 1.41201e+24
-0.356156 3.04553e+19 1.41639e+24
-0.356076 3.05497e+19 1.42078e+24
-0.355996 3.06444e+19 1.42519e+24
-0.355916 3.07394e+19 1.4296e+24
-0.355836 3.08347e+19 1.43403e+24
-0.355756 3.09302e+19 1.43848e+24
-0.355676 3.10261e+19 1.44294e+24
-0.355596 3.11223e+19 1.44741e+24
-0.355516 3.12188e+19 1.4519e+24
-0.355436 3.13155e+19 1.4564e+24
-0.355356 3.14126e+19 1.46091e+24
-0.355276 3.151e+19 1.46544e+24
-0.355196 3.16076e+19 1.46998e+24
-0.355116 3.17056e+19 1.47454e+24
-0.355036 3.18039e+19 1.47911e+24
-0.354955 3.19025e+19 1.48369e+24
-0.354875 3.20013e+19 1.48829e+24
-0.354795 3.21005e+19 1.49291e+24
-0.354715 3.22e+19 1.49753e+24
-0.354635 3.22998e+19 1.50218e+24
-0.354555 3.24e+19 1.50683e+24
-0.354475 3.25004e+19 1.5115e+24
-0.354395 3.26011e+19 1.51619e+24
-0.354315 3.27022e+19 1.52089e+24
-0.354235 3.28035e+19 1.5256e+24
-0.354155 3.29052e+19 1.53033e+24
-0.354075 3.30072e+19 1.53507e+24
-0.353995 3.31095e+19 1.53983e+24
-0.353915 3.32122e+19 1.5446e+24
-0.353835 3.33151e+19 1.54939e+24
-0.353755 3.34184e+19 1.55419e+24
-0.353675 3.3522e+19 1.55901e+24
-0.353595 3.36259e+19 1.56384e+24
-0.353515 3.37301e+19 1.56869e+24
-0.353435 3.38346e+19 1.57355e+24
-0.353355 3.39395e+19 1.57843e+24
-0.353275 3.40447e+19 1.58332e+24
-0.353195 3.41502e+19 1.58823e+24
-0.353115 3.42561e+19 1.59315e+24
-0.353035 3.43623e+19 1.59809e+24
-0.352955 3.44688e+19 1.60305e+24
-0.352875 3.45756e+19 1.60802e+24
-0.352795 3.46828e+19 1.613e+24
-0.352715 3.47903e+19 1.618e+24
-0.352635 3.48981e+19 1.62301e+24
-0.352555 3.50063e+19 1.62805e+24
-0.352475 3.51148e+19 1.63309e+24
-0.352395 3.52237e+19 1.63815e+24
-0.352315 3.53328e+19 1.64323e+24
-0.352235 3.54424e+19 1.64832e+24
-0.352155 3.55522e+19 1.65343e+24
-0.352075 3.56624e+19 1.65856e+24
-0.351995 3.5773e+19 1.6637e+24
-0.351915 3.58838e+19 1.66886e+24
-0.351835 3.59951e+19 1.67403e+24
-0.351755 3.61066e+19 1.67922e+24
-0.351675 3.62186e+19 1.68442e+24
-0.351595 3.63308e+19 1.68964e+24
